lon,lat,dist
-84.555466,38.042098,0
-84.555718,38.042339,34.7120046675
-84.556199,38.042728,60.3913613505
-84.556717,38.043148,65.122196137
-84.556565,38.043247,17.2852494312
-84.556321,38.043392,26.7915820297
-84.555779,38.043727,60.3840203946
-84.555275,38.044029,55.5063166077
-84.554902,38.044258,41.4502550041
-84.55465,38.044441,30.0318505094
-84.554497,38.044567,19.3899490665
-84.554444,38.044628,8.2151040272
-84.554345,38.044773,18.2908251034
-84.554329,38.044803,3.6139823088
-84.554322,38.04486,6.3566145569
-84.554299,38.045246,42.8925091657
-84.554299,38.045372,13.9856641099
-84.554284,38.045726,39.3151117183
-84.554276,38.045871,16.1099266852
-84.554268,38.046142,30.0884765853
-84.554261,38.0466,50.8405013264
-84.5551,38.046543,73.9160782917
-84.555817,38.046493,63.1802998859
-84.555954,38.046485,12.0581871721
-84.557244,38.046379,113.8420307568
-84.558915,38.046245,147.4278956948
-84.560006,38.046154,96.2962790091
-84.560463,38.046154,40.114264541
-84.561158,38.046119,61.1288696361
-84.565117,38.045791,349.4135003412
-84.566414,38.04568,114.5126524853
-84.567284,38.045612,76.7389447102
-84.567948,38.04557,58.4707723912
-84.568238,38.045555,25.5100375383
-84.569123,38.045478,78.152405652
-84.569703,38.045436,51.1243614373
-84.570641,38.04536,82.7670526289
-84.57119,38.045288,48.8485076626
-84.571717,38.045196,47.3729736164
-84.572556,38.044986,77.2470452726
-84.573273,38.044795,66.4122381456
-84.574074,38.044578,74.322302747
-84.57425,38.044528,16.415767855
-84.574326,38.044506,7.1040830881
-84.574441,38.044475,10.664920627
-84.575043,38.044315,55.7477476498
-84.575333,38.044258,26.2305434126
-84.575951,38.044166,55.2006322814
-84.576401,38.044136,39.6410063324
-84.576851,38.044128,39.5108887823
-84.577332,38.044136,42.2314194973
-84.579278,38.044197,170.9535436029
-84.581765,38.044261,218.4236201422
-84.583909,38.044326,188.3377171292
-84.585618,38.044376,150.1178527807
-84.587967,38.044437,206.3051138883
-84.588723,38.044441,66.3627355787
-84.589089,38.044441,32.1272711165
-84.589379,38.044437,25.4599067891
-84.589966,38.044425,51.5437448941
-84.591301,38.044399,117.2211148376
-84.592858,38.044307,137.0536989109
-84.593331,38.044265,41.7806589456
-84.593514,38.044246,16.2015232362
-84.593506,38.044097,16.5535014493
-84.593545,38.041168,325.1290677848
-84.593545,38.04047,77.4760799458
-84.593545,38.040309,17.8705558136
-84.593545,38.039512,88.4647939108
-84.593552,38.039165,38.5209373611
-84.593537,38.038902,29.2219507715
-84.593499,38.038593,34.4599802508
-84.593453,38.038299,32.8820785632
-84.593285,38.037731,64.7484351917
-84.593209,38.037536,22.6494050433
-84.592919,38.036937,71.1947982175
-84.592827,38.036808,16.4393806262
-84.593514,38.036521,68.2071463426
-84.594452,38.036144,92.3686959821
-84.594826,38.035991,36.9652473118
-84.595063,38.035888,23.7402998944
-84.595215,38.035816,15.5541625773
-84.595437,38.035701,23.2974466274
-84.595795,38.035488,39.3285296909
-84.595978,38.035369,20.7983739255
-84.596245,38.035179,31.5309402741
-84.596787,38.034702,71.1852782741
-84.597184,38.034297,56.8822398758
-84.597283,38.034175,16.090851832
-84.597512,38.033882,38.2344735783
-84.598031,38.033138,94.3179044853
-84.598618,38.032249,111.3232526312
-84.598832,38.031963,36.8882446777
-84.599274,38.031326,80.6539805317
-84.59935,38.031227,12.8558426964
-84.599488,38.031089,19.5299796222
-84.599564,38.031009,11.1072702746
-84.599793,38.030826,28.5799690619
-84.600617,38.030258,95.9608370374
-84.600922,38.030044,35.794971101
-84.601128,38.029865,26.8675275599
-84.601525,38.029491,54.2053613266
-84.602006,38.02901,68.0725512155
-84.602173,38.028858,22.35242425
-84.602288,38.028762,14.6795206672
-84.602349,38.02869,9.6203843862
